settlement_code,settlement,year,rows
,מ. א. שפיר,2025,3
,מ.א. חוף הכרמל,2025,4
,מבועים,2025,3
,מבטחים,2025,7
,מבקיעים,2025,4
,מגדים,2025,8
,מגן שאול,2025,1
,מדרך עוז,2025,1
,מודיעין עילית,2025,1
,מזור,2025,15
,מירב,2025,1
,מלכיה,2025,5
,מנוחה,2025,17
,מנות,2025,1
,מסלול,2025,4
,מענית,2025,7
,מצובה,2025,5
,מצפה,2025,2
,מרחביה )מושב(,2025,2
,מרכז שפירא,2025,18
,משגב עם,2025,2
,משמר הנגב,2025,243
,משמר השרון,2025,1
,משען,2025,4
,מתן,2025,8
,נאות הכיכר,2025,2
,נאות מרדכי,2025,1
,נבטים,2025,1
,נגבה,2025,7
,נוב,2025,7
,נוגה,2025,2
,נווה אור,2025,6
,"נווה אטי""ב",2025,1
,נווה מבטח,2025,3
,נווה מיכאל,2025,6
,נורית,2025,3
,נחשולים,2025,4
,נחשון,2025,1
,נטור,2025,1
,נטע,2025,7
,נטעים,2025,4
,נטף,2025,1
,ניצן,2025,21
,ניצני עוז,2025,4
,ניצנים,2025,27
,ניר בנים,2025,3
,ניר גלים,2025,14
,ניר דוד )תל עמל(,2025,2
,"ניר ח""ן",2025,10
,ניר ישראל,2025,3
,ניר עם,2025,2
,ניר עקיבא,2025,7
,נירים,2025,5
,נס הרים,2025,1
,נתיב העשרה,2025,1
,סגולה,2025,2
,סנסנה,2025,1
,סעד,2025,4
,סתריה,2025,6
,עבדון,2025,1
,עוזה,2025,3
,עופר,2025,6
,עופרה,2025,1
,עוצם,2025,6
,עזר,2025,5
,עזריה,2025,5
,עזריקם,2025,9
,עידן,2025,2
,עין איילה,2025,7
,עין גדי,2025,10
,עין הבשור,2025,1
,עין השופט,2025,4
,עין צורים,2025,1
,עלי זהב,2025,1
,עלמה,2025,1
,עמקה,2025,1
,ערוגות,2025,7
,פדויים,2025,6
,פורת,2025,3
,פלמחים,2025,1
,"פעמי תש""ז",2025,4
,צביה,2025,2
,צובה,2025,2
,צור יגאל,2025,4
,צורית,2025,2
,צנדלה,2025,2
,צפריה,2025,1
,קבוצת יבנה,2025,1
,קוממיות,2025,1
,קלחים,2025,2
,קריית מלאכי,2025,502
,רבדים,2025,11
,רביבים,2025,8
,רווחה,2025,11
,רמת חובב,2025,6
,רמת צבי,2025,5
,רמת רזיאל,2025,4
,רנן,2025,3
,רעים,2025,3
,שאר ישוב,2025,1
,שדה דוד,2025,4
,שדה יואב,2025,72
,שדה יעקב,2025,1
,שדה עוזיהו,2025,4
,שדמות דבורה,2025,2
,שובה,2025,7
,שומרה,2025,1
,שחר,2025,3
,שני,2025,2
,שניר,2025,1
,שעלבים,2025,2
,שער הנגב,2025,2
,שפיים,2025,7
,שפיר,2025,13
,שפר,2025,1
,שקף,2025,3
,שרשרת,2025,3
,שתולה,2025,2
,שתולים,2025,6
,תדהר,2025,3
,תושיה,2025,2
,תימורים,2025,10
,תירוש,2025,2
,תל אל-בידא,2025,1
,תל עדשים,2025,6
,תל שבע,2025,3
,תל תאומים,2025,6
,תלמי יחיאל,2025,4
,תלמי יפה,2025,5
,תלמים,2025,4
,תרום,2025,5
,,2026,17
,אבו גוש,2026,15
,אבו סנאן,2026,20
,אבטליון,2026,4
,אבן ספיר,2026,1
,אבשלום,2026,3
,אדמית,2026,7
,אדרת,2026,1
,אום אל-פחם,2026,162
,אומן,2026,5
,אורה,2026,4
,אורון,2026,1
,אחוזת ברק,2026,2
,אילון,2026,5
,אל-רום,2026,2
,אלון הגליל,2026,4
,אעבלין,2026,78
,אפיניש )שבט(,2026,2
,אפיק,2026,7
,ארבל,2026,1
,אשבול,2026,5
,אשלים,2026,5
,באר אורה,2026,5
,באר מילכה,2026,1
,בועיינה-נוג'ידאת,2026,12
,ביר אל-מכסור,2026,7
,בית ג'ן,2026,44
,בית הגדי,2026,2
,בית העמק,2026,3
,בית השיטה,2026,42
,בית חנניה,2026,7
,בית יוסף,2026,2
,בית מאיר,2026,3
,בית ניר,2026,5
,בית קמה,2026,10
,בית שאן,2026,149
,ביתר עילית,2026,15
,בן עמי,2026,1
,בני יהודה,2026,2
,בני נצרים,2026,6
,"בסמ""ה",2026,26
,בענה,2026,12
,בצת,2026,2
,בר גיורא,2026,2
,ג'דידה,2026,1
,ג'דיידה-מכר,2026,31
,ג'ולס,2026,28
,ג'ת,2026,20
,גבע,2026,6
,גבעולים,2026,2
,גבעות בר,2026,2
,גבעת אלה,2026,2
,גבעת יואב,2026,3
,גבעת יערים,2026,6
,גבעת עוז,2026,4
,גדיש,2026,1
,גדעונה,2026,4
,גדרה,2026,274
,גילון,2026,3
,גילת,2026,5
,גלאון,2026,4
,גן נר,2026,4
,גשור,2026,1
,גשר,2026,2
,גשר הזיו,2026,3
,גת )קיבוץ(,2026,10
,דבירה,2026,1
,דייר אל-אסד,2026,14
,דייר חנא,2026,21
,הושעיה,2026,1
,הילה,2026,1
,הר עמשא,2026,20
,זלפה,2026,1
,זרועה,2026,3
,חבר,2026,2
,חד-נס,2026,3
,חוסן,2026,3
,חורה,2026,1
,חורפיש,2026,8
,חלוץ,2026,1
,חמדיה,2026,3
,חספין,2026,4
,טייבה )בעמק(,2026,1
,טירת צבי,2026,6
,טללים,2026,8
,טמרה,2026,72
,יאנוח-ג'ת,2026,25
,יבול,2026,3
,יהל,2026,1
,יודפת,2026,2
,יושיביה,2026,1
,יסעור,2026,2
,יעד,2026,1
,יעל,2026,16
,ירוחם,2026,116
,ירכא,2026,35
,ישע,2026,7
,כאבול,2026,24
,כברי,2026,3
,כליל,2026,3
,כמהין,2026,3
,כסרא-סמיע,2026,4
,כפר ברוך,2026,5
,כפר החורש,2026,7
,כפר ורדים,2026,22
,כפר חרוב,2026,2
,כפר יאסיף,2026,12
,כפר יחזקאל,2026,2
,כפר מנדא,2026,147
,כפר מנחם,2026,9
,כפר מסריק,2026,3
,כפר רוזנואלד )זרעית(,2026,1
,כפר רופין,2026,4
,כפר תבור,2026,39
,כרם שלום,2026,3
,כרמים,2026,1
,לבון,2026,1
,להב,2026,4
,להבים,2026,50
,לוזית,2026,3
,לוחמי הגיטאות,2026,6
,לוטם,2026,3
,לפידות,2026,1
,מ. א. אל-בטוף,2026,1
,מ. א. יואב,2026,8
,מ. א. מגידו,2026,2
,מ. א. מטה יהודה,2026,2
,מ. א. משגב,2026,4
,מ. א. תמר,2026,3
,מ.א. נווה מדבר,2026,1
,מבשרת ציון,2026,136
,מג`ד אל-כרום,2026,59
,מגדל העמק,2026,375
,מגידו,2026,5
,מדרשת בן גוריון,2026,4
,מולדת,2026,1
,מועאוויה,2026,2
,מוצא עילית,2026,7
,מוקייבלה,2026,5
,מזרעה,2026,5
,מטע,2026,1
,מי עמי,2026,17
,מירון,2026,1
,מיתר,2026,70
,מכמנים,2026,2
,מעוז חיים,2026,3
,מעיליא,2026,31
,מעלה עירון,2026,53
,מעלות-תרשיחא,2026,92
,מפלסים,2026,2
,מצובה,2026,2
,מצפה רמון,2026,35
,מרום גולן,2026,2
,מרחב עם,2026,2
,משאבי שדה,2026,4
,משגב,2026,7
,משמר הנגב,2026,25
,נאות גולן,2026,1
,נאות הכיכר,2026,1
,נבטים,2026,1
,נוב,2026,3
,נווה אילן,2026,1
,נווה איתן,2026,6
,נווה זוהר,2026,6
,נווה זיו,2026,2
,נחושה,2026,2
,נחף,2026,37
,ניצני סיני,2026,1
,ניר יפה,2026,1
,נירים,2026,4
,נס עמים,2026,2
,נצרת,2026,139
,"נתיב הל""ה",2026,3
,סאג'ור,2026,5
,סופה,2026,2
,סח'נין,2026,73
,סלמה,2026,1
,סער,2026,2
,עגור,2026,1
,עוזייר,2026,1
,עומר,2026,31
,עיילבון,2026,12
,עין אל-אסד,2026,10
,עין המפרץ,2026,10
,"עין הנצי""ב",2026,10
,עין יהב,2026,3
,"עין כרם-בי""ס חקלאי",2026,4
,עין נקובא,2026,4
,עמיעוז,2026,3
,עמקה,2026,2
,עראבה,2026,122
,ערערה,2026,44
,פארן,2026,1
,פדויים,2026,1
,פסוטה,2026,14
,פקיעין )בוקייעה(,2026,1
,צביה,2026,1
,צהל,2026,8
,צוחר,2026,4
,צוקים,2026,3
,צור הדסה,2026,159
,צורית,2026,1
,צלפון,2026,1
,צנדלה,2026,2
,קלע,2026,2
,קציר,2026,6
,קצרין,2026,74
,קריית יערים,2026,41
,קריית ענבים,2026,1
,קרית יערים)מוסד(,2026,3
,ראמה,2026,19
,רגבה,2026,3
,רהט,2026,8
,רוחמה,2026,3
,רומת הייב,2026,2
,רותם,2026,3
,רם-און,2026,2
,רמת חובב,2026,2
,רמת מגשימים,2026,3
,רנן,2026,2
,רקפת,2026,6
,רשפים,2026,5
,שבי דרום,2026,1
,שגב-שלום,2026,3
,שדה בוקר,2026,1
,שדה יואב,2026,20
,שדה משה,2026,2
,שדה נחום,2026,15
,שדה ניצן,2026,1
,שדה צבי,2026,1
,שדי תרומות,2026,5
,שואבה,2026,1
,שובל,2026,1
,שומרה,2026,1
,שורש,2026,3
,שיבולים,2026,17
,שייח' דנון,2026,1
,שלוחות,2026,6
,שלומי,2026,46
,שמרת,2026,12
,שמשית,2026,2
,שני,2026,2
,שעב,2026,2
,שעל,2026,2
,שפרעם,2026,53
,שריגים )לי-און(,2026,7
,תובל,2026,13
,תל תאומים,2026,1
,תלמי אליהו,2026,3
,"תלמי ביל""ו",2026,1
,תמרת,2026,4
,תקומה,2026,4
,תרום,2026,2
,אור עקיבא,2026,231
,אושה,2026,13
,אכסאל,2026,22
,אלומות,2026,2
,אמנון,2026,1
,אפיקים,2026,15
,אשדות יעקב )איחוד(,2026,1
,אשדות יעקב )מאוחד(,2026,4
,בית זרע,2026,1
,בית לחם הגלילית,2026,1
,בית קשת,2026,3
,בית רימון,2026,1
,בלפוריה,2026,2
,בנימינה-גבעת עדה,2026,105
,ברקא,2026,1
,ברקאי,2026,43
,ג'ש )גוש חלב(,2026,7
,גבע כרמל,2026,2
,גבעת אבני,2026,3
,גבעת עדה,2026,8
,גבת,2026,12
,גונן,2026,1
,גיניגר,2026,2
,"גליל תחתון מז מ""א 2",2026,2
,דאלית אל-כרמל,2026,26
,דבוריה,2026,6
,דגניה א',2026,2
,דחי,2026,1
,דישון,2026,2
,דמיידה,2026,2
,דן,2026,1
,דפנה,2026,3
,האון,2026,19
,הגושרים,2026,5
,הזורעים,2026,1
,זכרון יעקב,2026,135
,זרזיר,2026,5
,חוקוק,2026,7
,חצור הגלילית,2026,31
,חרוצים,2026,1
,חריש,2026,552
,טורעאן,2026,59
,טירת כרמל,2026,234
,יבנאל,2026,50
,יגור,2026,2
,יובל,2026,4
,יזרעאל,2026,1
,יסוד המעלה,2026,13
,יפיע,2026,14
,יפעת,2026,5
,יקנעם )מושבה(,2026,6
,יקנעם עילית,2026,106
,יראון,2026,13
,כאוכב אבו אל-היג'א,2026,2
,כדורי,2026,1
,כורזים,2026,4
,כלנית,2026,2
,כנרת )מושבה(,2026,8
,כנרת )קבוצה(,2026,3
,כפר ביאליק,2026,4
,כפר בלום,2026,2
,כפר גלעדי,2026,1
,כפר המכבי,2026,2
,כפר הנשיא,2026,3
,כפר זיתים,2026,1
,כפר חושן,2026,1
,כפר חסידים א',2026,2
,כפר כנא,2026,56
,כפר סאלד,2026,5
,כפר קרע,2026,53
,כרמל,2026,1
,להבות הבשן,2026,4
,מ. א. הגליל התחתון,2026,2
,מ. א. עמק יזרעאל,2026,1
,מגאר,2026,18
,מגדים,2026,2
,מגדל,2026,4
,מחניים,2026,1
,מטולה,2026,2
,מנחמיה,2026,6
,מסד,2026,1
,מסדה,2026,2
,מעגן,2026,2
,מרחביה )קיבוץ(,2026,7
,משגב עם,2026,5
,משהד,2026,39
,נאות מרדכי,2026,1
,נאעורה,2026,2
,נווה ים,2026,2
,נופית,2026,9
,ניין,2026,1
,ניר עציון,2026,43
,סולם,2026,3
,עארה,2026,1
,עופר,2026,1
,עילוט,2026,9
,עין דור,2026,8
,עין הוד,2026,2
,עין העמק,2026,3
,עין השופט,2026,1
,עין כרמל,2026,1
,עין מאהל,2026,31
,עין עירון,2026,1
,עמיעד,2026,1
,עמיקם,2026,2
,עספיא,2026,14
,עתלית,2026,101
,פוריה - כפר עבודה,2026,2
,פוריה - נווה עובד,2026,2
,פוריה עילית,2026,9
,פוריידיס,2026,28
,ציפורי,2026,1
,צפת,2026,135
,צרופה,2026,4
,קיסריה,2026,32
,קריית טבעון,2026,100
,קריית שמונה,2026,135
,ראש פינה,2026,32
,רומאנה,2026,1
,ריחאניה,2026,2
,ריינה,2026,14
,רכסים,2026,290
,רמת דוד,2026,7
,רמת השופט,2026,4
,רמת ישי,2026,24
,רמת צבי,2026,1
,שבלי - אום אל-גנם,2026,2
,שדה אילן,2026,1
,שדה אליעזר,2026,2
,שכניה,2026,3
,שער העמקים,2026,7
,שרונה,2026,2
,שריד,2026,4
,תל קציר,2026,7
,תענך,2026,1
,אביחיל,2026,8
,אבן יהודה,2026,68
,אום אל-קוטוף,2026,1
,אזור,2026,49
,אחיטוב,2026,1
,אחיסמך,2026,5
,אליכין,2026,35
,אלישיב,2026,1
,אלעד,2026,663
,אלפי מנשה,2026,3
,אפק,2026,33
,באקה אל-גרביה,2026,39
,ביר א סכה,2026,1
,בית אלעזרי,2026,2
,בית דגן,2026,12
,בית חשמונאי,2026,3
,בית יהושע,2026,1
,בית ינאי,2026,1
,בית עמרא,2026,2
,בן זכאי,2026,16
,בן שמן )מושב(,2026,1
,בני דרור,2026,2
,"בני עי""ש",2026,259
,בני ציון,2026,1
,בצרה,2026,8
,בת חפר,2026,9
,ג'סר א-זרקא,2026,9
,גבעת חיים )איחוד(,2026,3
,"גבעת כ""ח",2026,1
,גבעת שמואל,2026,173
,גליל ים,2026,8
,גן חיים,2026,1
,גני תקווה,2026,67
,געש,2026,2
,"דרום השרון מ""א 02",2026,3
,המעפיל,2026,6
,העוגן,2026,1
,הרדוף,2026,2
,זמר,2026,45
,חבצלת השרון,2026,39
,חופית,2026,1
,חמד,2026,1
,חפץ חיים,2026,5
,חרב לאת,2026,2
,טייבה,2026,4
,טירה,2026,2
,טל שחר,2026,2
,יד בנימין,2026,1
,יד חנה,2026,3
,"יד רמב""ם",2026,2
,יהוד,2026,129
,יהוד-מונוסון,2026,18
,ינוב,2026,6
,יסודות,2026,1
,יעף,2026,2
,ירחיב,2026,3
,ישרש,2026,3
,כוכב יאיר,2026,10
,כעביה-טבאש-חג'אג'רה,2026,4
,"כפר אז""ר",2026,1
,כפר ברא,2026,18
,"כפר הרא""ה",2026,2
,כפר ויתקין,2026,3
,"כפר חב""ד",2026,7
,כפר חיים,2026,1
,כפר יונה,2026,121
,כפר יעבץ,2026,5
,כפר מונש,2026,1
,"כפר מל""ל",2026,2
,כפר סילבר,2026,1
,כפר קאסם,2026,2
,כפר שמואל,2026,2
,כפר שמריהו,2026,9
,כרמי יוסף,2026,5
,מ. א. חוף השרון,2026,2
,מבוא מודיעים,2026,1
,מגל,2026,4
,מגשימים,2026,1
,מזכרת בתיה,2026,50
,מייסר,2026,4
,מכבים-רעות,2026,2
,מכמורת,2026,3
,מעש,2026,3
,מצליח,2026,2
,משמר השבעה,2026,5
,משמרות,2026,1
,משמרת,2026,1
,מתן,2026,8
,נווה אפרים,2026,2
,נוף איילון,2026,1
,נורדיה,2026,1
,נחלים,2026,2
,נירית,2026,1
,נען,2026,82
,סביון*,2026,6
,עדי,2026,2
,עדנים,2026,2
,עין החורש,2026,9
,עין שמר,2026,5
,עין שריד,2026,2
,"עמק חפר מזרח מ""א 61",2026,3
,פרדסיה,2026,18
,צופית,2026,1
,צור יגאל,2026,1
,צור יצחק,2026,51
,צור משה,2026,8
,צור נתן,2026,2
,צורן,2026,10
,קדימה-צורן,2026,63
,קדרון,2026,2
,קלנסווה,2026,25
,קריית עקרון,2026,20
,רמות מאיר,2026,1
,רמת אפעל,2026,3
,רשפון,2026,5
,שדה ורבורג,2026,3
,שדה יצחק,2026,1
,שדות מיכה,2026,1
,שוהם,2026,68
,שעלבים,2026,2
,תל מונד,2026,94
,תלמי אלעזר,2026,1
,*עראבה*,2026,2
,אבו קרינאת )יישוב(,2026,1
,אבו תלול,2026,1
,אביגדור,2026,3
,אבן שמואל,2026,2
,אודים,2026,1
,אום בטין,2026,5
,אור הנר,2026,2
,אחוזם,2026,3
,אירוס,2026,9
,אלומה,2026,5
,אליקים,2026,5
,אלמגור,2026,1
,אמונים,2026,1
,אמירים,2026,1
,אמציה,2026,3
,ארסוף,2026,1
,אשכולות,2026,1
,באר טוביה,2026,2
,בורגתה,2026,3
,בחן,2026,1
,בטחה,2026,1
,ביצרון,2026,2
,בית אל,2026,1
,בית הלוי,2026,1
,בית זית,2026,2
,בית חלקיה,2026,1
,בית חנן,2026,1
,בית יצחק-שער חפר,2026,2
,בית עובד,2026,1
,בית שקמה,2026,1
,בני דקלים,2026,4
,בקוע,2026,1
,ברור חיל,2026,2
,ברוש,2026,1
,ברכיה,2026,2
,גאליה,2026,1
,גבעות עדן,2026,2
,גבעת חיים )מאוחד(,2026,1
,גברעם,2026,11
,גזר,2026,1
,גיאה,2026,1
,גמזו,2026,1
,גן יבנה,2026,76
,גן שורק,2026,1
,גני הדר,2026,1
,גני יוחנן,2026,1
,גפן,2026,6
,דור,2026,5
,דורות,2026,7
,הודיה,2026,1
,החותרים,2026,1
,הראל,2026,1
,ורדון,2026,1
,זבדיאל,2026,1
,זוהר,2026,1
,זיקים,2026,4
,זיתן,2026,1
,זכריה,2026,1
,זמרת,2026,1
,ח'ואלד,2026,1
,חיבת ציון,2026,2
,חלץ,2026,1
,חצב,2026,1
,חצבה,2026,1
,חצור-אשדוד,2026,1
,יד מרדכי,2026,1
,יד נתן,2026,1
,יובלים,2026,1
,ינון,2026,1
,ירדנה,2026,1
,יתד,2026,4
,כוכב מיכאל,2026,4
,כחל,2026,2
,כפר אביב,2026,1
,כפר אוריה,2026,1
,כפר בן נון,2026,2
,"כפר הרי""ף",2026,3
,כפר ורבורג,2026,1
,כפר חסידים ב',2026,2
,כפר טרומן,2026,1
,כפר מימון,2026,4
,כפר סירקין,2026,3
,לפיד,2026,2
,מ. א. גן רוה,2026,1
,מ. א. חבל יבנה,2026,1
,מ. א. שפיר,2026,1
,מ.א. חוף הכרמל,2026,12
,מבטחים,2026,1
,מזור,2026,7
,מישר,2026,1
,מנוחה,2026,1
,מסילת ציון,2026,1
,מסלול,2026,2
,מעגלים,2026,2
,מעין צבי,2026,4
,מצפה,2026,1
,מצפה נטופה,2026,1
,מרכז שפירא,2026,12
,משמר הירדן,2026,1
,משמר השרון,2026,1
,משען,2026,2
,נגבה,2026,3
,נהורה,2026,7
,"נווה אטי""ב",2026,1
,נווה מיכאל,2026,1
,נחל עוז,2026,1
,נחלת יהודה,2026,1
,נחם,2026,2
,נחשולים,2026,3
,נטע,2026,1
,נטעים,2026,1
,ניצן,2026,5
,ניצני עוז,2026,1
,ניצנים,2026,5
,ניר גלים,2026,6
,"ניר ח""ן",2026,3
,ניר עם,2026,1
,ניר עקיבא,2026,3
,נס הרים,2026,2
,נתיב העשרה,2026,2
,סעד,2026,20
,עוזה,2026,2
,עוצם,2026,1
,עזריקם,2026,1
,עידן,2026,4
,עין איילה,2026,1
,עין גדי,2026,1
,עין צורים,2026,7
,עמינדב,2026,1
,ערוגות,2026,1
,פורת,2026,1
,"פעמי תש""ז",2026,1
,צובה,2026,2
,צפריה,2026,2
,קדרים,2026,1
,קוממיות,2026,3
,קלחים,2026,1
,קריית מלאכי,2026,310
,ראס עלי,2026,1
,רווחה,2026,2
,רימונים,2026,1
,רמת יוחנן,2026,1
,רמת רזיאל,2026,1
,שדות ים,2026,1
,שדמות דבורה,2026,1
,שובה,2026,3
,שילה,2026,1
,שניר,2026,1
,שפיר,2026,5
,שתולים,2026,1
,תושיה,2026,1
,תלמי יחיאל,2026,1
,תלמים,2026,1
,תעשיון בינימין*,2026,1
10,תירוש,1998,6
10,תירוש,1999,3
10,תירוש,2000,1
10,תירוש,2001,2
10,תירוש,2002,2
10,תירוש,2003,2
10,תירוש,2004,2
10,תירוש,2005,2
10,תירוש,2006,7
10,תירוש,2007,4
10,תירוש,2009,2
10,תירוש,2010,3
10,תירוש,2011,5
10,תירוש,2012,2
10,תירוש,2013,2
10,תירוש,2015,5
10,תירוש,2018,2
10,תירוש,2022,4
10,תירוש,2023,1
10,תירוש,2024,5
10,תירוש,2025,2
1015,מבשרת ציון,1998,206
1015,מבשרת ציון,1999,432
1015,מבשרת ציון,2000,211
1015,מבשרת ציון,2001,186
1015,מבשרת ציון,2002,299
1015,מבשרת ציון,2003,187
1015,מבשרת ציון,2004,228
1015,מבשרת ציון,2005,270
1015,מבשרת ציון,2006,218
1015,מבשרת ציון,2007,269
1015,מבשרת ציון,2008,223
1015,מבשרת ציון,2009,245
1015,מבשרת ציון,2010,205
1015,מבשרת ציון,2011,155
1015,מבשרת ציון,2012,202
1015,מבשרת ציון,2013,225
1015,מבשרת ציון,2014,200
1015,מבשרת ציון,2015,205
1015,מבשרת ציון,2016,227
1015,מבשרת ציון,2017,328
1015,מבשרת ציון,2018,472
1015,מבשרת ציון,2019,318
1015,מבשרת ציון,2020,245
1015,מבשרת ציון,2021,619
1015,מבשרת ציון,2022,720
1015,מבשרת ציון,2023,231
1015,מבשרת ציון,2024,294
1015,מבשרת ציון,2025,274
1015,מבשרת ציון,2026,136
102,מאיר שפיה,2020,2
102,מאיר שפיה,2023,2
102,מאיר שפיה,2024,2
1020,אור עקיבא,1998,134
1020,אור עקיבא,1999,171
1020,אור עקיבא,2000,189
1020,אור עקיבא,2001,224
1020,אור עקיבא,2002,151
1020,אור עקיבא,2003,138
1020,אור עקיבא,2004,155
1020,אור עקיבא,2005,172
1020,אור עקיבא,2006,161
1020,אור עקיבא,2007,165
1020,אור עקיבא,2008,172
1020,אור עקיבא,2009,262
1020,אור עקיבא,2010,267
1020,אור עקיבא,2011,273
1020,אור עקיבא,2012,287
1020,אור עקיבא,2013,362
1020,אור עקיבא,2014,328
1020,אור עקיבא,2015,685
1020,אור עקיבא,2016,487
1020,אור עקיבא,2017,385
1020,אור עקיבא,2018,347
1020,אור עקיבא,2019,956
1020,אור עקיבא,2020,501
1020,אור עקיבא,2021,1596
1020,אור עקיבא,2022,703
1020,אור עקיבא,2023,404
1020,אור עקיבא,2024,765
1020,אור עקיבא,2025,508
1020,אור עקיבא,2026,231
1024,חרוצים,2000,3
1024,חרוצים,2001,5
1024,חרוצים,2002,5
1024,חרוצים,2003,1
1024,חרוצים,2005,2
1024,חרוצים,2006,19
1024,חרוצים,2007,12
1024,חרוצים,2008,23
1024,חרוצים,2009,13
1024,חרוצים,2010,7
1024,חרוצים,2011,3
1024,חרוצים,2012,2
1024,חרוצים,2013,2
1024,חרוצים,2014,7
1024,חרוצים,2015,7
1024,חרוצים,2016,2
1024,חרוצים,2017,2
1024,חרוצים,2018,9
1024,חרוצים,2019,4
1024,חרוצים,2020,7
1024,חרוצים,2021,17
1024,חרוצים,2022,11
1024,חרוצים,2023,2
1024,חרוצים,2024,3
1024,חרוצים,2025,5
1024,חרוצים,2026,1
103,תל עדשים,1998,4
103,תל עדשים,1999,11
103,תל עדשים,2000,6
103,תל עדשים,2001,20
103,תל עדשים,2002,10
103,תל עדשים,2003,33
103,תל עדשים,2004,58
103,תל עדשים,2005,35
103,תל עדשים,2006,30
103,תל עדשים,2007,31
103,תל עדשים,2008,34
103,תל עדשים,2009,26
103,תל עדשים,2010,13
103,תל עדשים,2011,5
103,תל עדשים,2012,4
103,תל עדשים,2013,15
103,תל עדשים,2014,10
103,תל עדשים,2015,31
103,תל עדשים,2016,30
103,תל עדשים,2017,135
103,תל עדשים,2018,10
103,תל עדשים,2019,17
103,תל עדשים,2020,13
103,תל עדשים,2021,20
103,תל עדשים,2022,14
103,תל עדשים,2023,46
103,תל עדשים,2024,2
103,תל עדשים,2025,6
1031,שדרות,1998,222
1031,שדרות,1999,297
1031,שדרות,2000,265
1031,שדרות,2001,305
1031,שדרות,2002,217
1031,שדרות,2003,198
1031,שדרות,2004,146
1031,שדרות,2005,182
1031,שדרות,2006,166
1031,שדרות,2007,146
1031,שדרות,2008,186
1031,שדרות,2009,319
1031,שדרות,2010,385
1031,שדרות,2011,439
1031,שדרות,2012,359
1031,שדרות,2013,397
1031,שדרות,2014,345
1031,שדרות,2015,714
1031,שדרות,2016,768
1031,שדרות,2017,1038
1031,שדרות,2018,557
1031,שדרות,2019,1127
1031,שדרות,2020,760
1031,שדרות,2021,1032
1031,שדרות,2022,853
1031,שדרות,2023,1031
1031,שדרות,2024,1094
1031,שדרות,2025,1393
1031,שדרות,2026,443
1034,קריית מלאכי,1998,186
1034,קריית מלאכי,1999,217
1034,קריית מלאכי,2000,192
1034,קריית מלאכי,2001,283
1034,קריית מלאכי,2002,230
1034,קריית מלאכי,2003,235
1034,קריית מלאכי,2004,156
1034,קריית מלאכי,2005,141
1034,קריית מלאכי,2006,155
1034,קריית מלאכי,2007,180
1034,קריית מלאכי,2008,295
1034,קריית מלאכי,2009,396
1034,קריית מלאכי,2010,442
1034,קריית מלאכי,2011,274
1034,קריית מלאכי,2012,320
1034,קריית מלאכי,2013,368
1034,קריית מלאכי,2014,348
1034,קריית מלאכי,2015,744
1034,קריית מלאכי,2016,745
1034,קריית מלאכי,2017,455
1034,קריית מלאכי,2018,398
1034,קריית מלאכי,2019,422
1034,קריית מלאכי,2020,480
1034,קריית מלאכי,2021,678
1034,קריית מלאכי,2022,1439
1034,קריית מלאכי,2023,444
1034,קריית מלאכי,2024,521
1034,קריית מלאכי,2025,502
1034,קריית מלאכי,2026,310
104,מזרע,1998,10
104,מזרע,1999,17
104,מזרע,2000,2
104,מזרע,2001,1
104,מזרע,2002,3
104,מזרע,2003,1
104,מזרע,2005,4
104,מזרע,2006,1
104,מזרע,2007,6
104,מזרע,2009,2
104,מזרע,2010,1
104,מזרע,2011,1
104,מזרע,2012,1
104,מזרע,2013,1
104,מזרע,2014,16
104,מזרע,2015,12
104,מזרע,2016,3
104,מזרע,2017,198
104,מזרע,2018,13
104,מזרע,2019,7
104,מזרע,2022,9
104,מזרע,2023,3
104,מזרע,2024,9
104,מזרע,2025,5
1042,אבו עמאר )שבט(,2021,1
1042,אבו עמאר )שבט(,2022,1
1043,גיזו,2005,1
1043,גיזו,2013,1
1043,גיזו,2016,2
1043,גיזו,2017,2
1043,גיזו,2018,2
1043,גיזו,2022,5
1043,גיזו,2023,3
1043,גיזו,2025,1
1044,יעף,2000,2
1044,יעף,2010,1
1044,יעף,2011,1
1044,יעף,2017,2
1044,יעף,2018,1
1044,יעף,2020,1
1044,יעף,2021,1
1044,יעף,2022,1
1044,יעף,2026,2
1045,שתולה,2006,1
1045,שתולה,2007,1
1045,שתולה,2009,1
1045,שתולה,2012,4
1045,שתולה,2013,4
1045,שתולה,2015,2
1045,שתולה,2016,2
1045,שתולה,2017,2
1045,שתולה,2019,3
1045,שתולה,2020,1
1045,שתולה,2021,3
1045,שתולה,2022,2
1045,שתולה,2023,1
1045,שתולה,2024,2
1045,שתולה,2025,2
1046,אוהד,2001,4
1046,אוהד,2002,4
1046,אוהד,2003,4
1046,אוהד,2004,4
1046,אוהד,2006,1
1046,אוהד,2007,1
1046,אוהד,2011,5
1046,אוהד,2012,1
1046,אוהד,2014,1
1046,אוהד,2016,2
1046,אוהד,2019,6
1046,אוהד,2020,7
1046,אוהד,2021,5
1046,אוהד,2022,2
1046,אוהד,2023,7
1046,אוהד,2024,1
1046,אוהד,2025,1
1047,חזון,1998,1
1047,חזון,2000,1
1047,חזון,2001,2
1047,חזון,2002,1
1047,חזון,2004,85
1047,חזון,2005,4
